2020-10-25 12:53:48, How wood is trending as a renewable building material even for high rises but don t expect timber skyscrapers in Hong Kong https t co rUW8eathZJ , pnamgyel , ,687,Thimphu 
2020-10-25 11:55:36, VAR going WAR https t co gKl070Tqd4 , ChhedupSangay , ,1164,Thimphu 
2020-10-25 11:43:28, Happy Dasian to these little people They enjoy Sunday outing least care about COVID19 protocol But I can confirm this that these little kids love wearing face mask just removed to feed themselves Pizza https t co ucu10fnYku , ChhedupSangay , COVID19 Pizza ,1164,Thimphu 
2020-10-25 10:59:48, Urban sprawl https t co 5nTR6qAqu5 , mani moktan , ,2,Thimphu 
2020-10-25 10:36:19, xf0 x9f x8e xa7 My new playlist xf0 x9f x8e xb6 So much in love with the melody Destiny therealjimbrickman ft jordon hill The Land of Happiness https t co nyUdFeGxke , Purkie0919 , jordon ,16,Thimphu 
2020-10-25 08:34:29, My 1st job was as a xe2 x80 x98Copy Girl xe2 x80 x99 at a stationary shop before I went to college xf0 x9f x98 x85 Here xe2 x80 x99s an episode on our experience with money Ep 2 Pandemic Proof your Finance NgulDumb Series https t co YZK9Qw2HF6 via YouTube bhutan financialliteracy , ImihcWangmo , bhutan financialliteracy ,392,Thimphu 
2020-10-25 08:15:09, Was ok Q YOU W hubby https t co zG2uJ8NtgD , pchomo , ,73,Thimphu 
2020-10-25 07:35:46, Covid19Updates Bhutan Two expat workers tests positive at Phuntsholing They entered Bhutan on 21st Oct And another two Bhutanese returnees from India tests positive too They entered Phuntsholing on 19 Oct More entries More cases Do the math Close the border , kuenzakarma , Covid19Updates Bhutan Phuntsholing Bhutan Bhutanese India Phuntsholing ,1408,Thimphu 
2020-10-25 07:02:36, Today is a great day to connect with people you xe2 x80 x99ve lost touch More for Virgo https t co ytH6jMhay1 , czdorji , ,2320,Thimphu 
2020-10-25 07:02:12, MobileLegendsOL I been playing mlbb for 3 years but all of my friends called me noob but I didn t listen to them I still played mlbb no matter what and then I hade family problems but I didn t care cause as long as I play ml I will be fine I promised my self to never stop playing ml https t co PiuMyaRWYk , Rigzang15 , ,2,Thimphu 
2020-10-25 07:01:13, Find peace wherever you can today while the warming Sun and in More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
2020-10-25 07:01:05, If you don xe2 x80 x99t tread lightly it xe2 x80 x99s possible that an intense conv More for Taurus https t co EECfQYA8HL , cixx67 , ,1508,Thimphu 
2020-10-25 07:00:16, Let your inner explorer go free today as your adventurous and More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
2020-10-25 05:50:02, No caption PC bhutanese vibes Thimphu Bhutan https t co BAhqcWk3QM , chabysharma , ,72,Bhutan 
2020-10-25 05:11:04, Just posted a photo https t co 2N3RRvI3OY , soonamwalker , ,82,Thimphu 
2020-10-25 05:09:08, Covid 19 update from Bhutan xf0 x9f x87 xa7 xf0 x9f x87 xb9 Wearing Mask is Mandatory maintain Social Distance use Druk Trace mobile app Wash Hands often Stay Safe xf0 x9f x99 x8f COVID19 BMT Happiness House https t co Pe5fydVNuu , bhutan majestic , Covid COVID19 ,1155,Thimphu 
2020-10-25 03:11:33, Good morning from the Capital Not many people lined up today They did it an incredible job by creating two counters issuing the LPG gas It is how it should have been since long https t co UmY5Qt1Kx6 , ChhedupSangay , ,1164,Thimphu 
2020-10-25 03:00:38, Product made in Bhutan Traditional tissue bag by RENEW xe2 x8f xa9 https t co rjJYaTYIuk https t co bHu4jbK6eu , Druksell1 , ,3,Thimphu 
2020-10-25 02:58:57, gauravpramanik Haha you are judged by you daisain ko mutton Pressure is on , ayand17 , ,28,Thimphu 
2020-10-25 02:50:58, Good morning to you all https t co 0p82eFVAYU , Bhutantravels , ,1048,Bhutan 
