2020-03-19 18:00:22, The people of Bhutan are blessed with the news of the birth of the second Royal Child of Their Majesties the King and Queen on March 19 2020 We offer our humble wishes and prayers for His Royal Highness xe2 x80 x99 good health and long life pc Facebook royalfamily happiness https t co AmvSkU8i2g , MyBhutan , royalfamily happiness ,936,Thimphu 
2020-03-19 16:26:38, NotKinqBest BlondyIsChill I need robux , uchiha soma , ,6,Thimphu 
2020-03-19 16:11:43, Heavenly Bhutan Travels offers our heartiest Tashi Delek to our Majesties The King and The Queen with the birth of the second Royal Child and Royal Highness The Gyalsey was delighted to meet his younger brother on the xe2 x80 xa6 https t co Goan8Ty4g1 , HeavenlyBhutan , ,94,Bhutan 
2020-03-19 15:59:39, This notification on Refund of tour cost for tour canceled due to COVID 19 supersedes the earlier notification issued on March 18 2020 regarding the same TourismBhutan HappinessIsAPlace Bhutan https t co w3xrtmfS5M , tourismbhutan , TourismBhutan HappinessIsAPlace Bhutan ,10866,Thimphu 
2020-03-19 15:53:18, KuenpelJ It has nth to do with that story I am talking about the situation xf0 x9f x98 x82 , BidhaChencho , ,32,Paro 
2020-03-19 15:45:38, benevity All the civil society had meeting with the Minister of Health and definitely country like Bhutan need immense support internationally as well as locally , somdomusic , ,24,Paro 
2020-03-19 15:29:47, India could be next coronavirus hotspot with an xe2 x80 x98avalanche xe2 x80 x99 of cases TOI https t co TC3jlVSsnW , gasebtandin , ,2332,Thimphu 
2020-03-19 15:05:11, xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xa7 xf0 x9f x87 xb9Bhutan celebrates the birth of our second Royal Prince xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xa7 xf0 x9f x87 xb9Offering prayers xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8fand heartfelt Tashi Delek to Their Majesties and HRH the Gyalsey , pem pa , ,318,Thimphu 
2020-03-19 13:09:43, Update The Health Minister met with the representatives from different CSOs in the country earlier today In the meeting Her Excellency expressed her appreciation to the CSOs for coming together in the best of xe2 x80 xa6 https t co nw1YLtQp7Z , MoHBhutan , ,941,Thimphu 
2020-03-19 13:09:18, Update The Health Minister met with the representatives from different CSOs in the country earlier today In the meeting Her Excellency expressed her appreciation to the CSOs for coming together in the best of their xe2 x80 xa6 https t co rKE43oJb8p , MoHBhutan , ,941,Thimphu 
2020-03-19 12:58:44, The Tourism Council of Bhutan most humbly joins the Nation in welcoming the second Royal Prince On this auspicious occasion we offer our prayers and good wishes for the good health and well being of Her Majesty The Gyaltsuen and our newly arrived Prince Palden Drukpa Gyalo https t co kFJfB8KUzp , tourismbhutan , ,10866,Thimphu 
2020-03-19 12:56:26, Henrirejaune Nice one https t co QaAwle2Z0q , Kradoukiel , ,122,Thimphu 
2020-03-19 12:48:21, A Prince is Born Just as the warm and pleasant springtime dawns upon us bringing along with it the fragrances of freshly blossoming flowers When the pristine valleys of this priceless nation of ours are endowed xe2 x80 xa6 https t co JG5dck0LSk , MoHBhutan , ,941,Thimphu 
2020-03-19 12:37:41, We are Blessed with a second Royal Prince Congratulations to our His Majesty the King and Her Majesty the Queen , PhurbaPhuba , ,737,Thimphu 
2020-03-19 12:10:13, Third batch released from quarantine today Coronavirus PMBhutan Sowai Lyonpo dwangmothimphu https t co v0rToR1QXv , MoHBhutan , Coronavirus ,941,Thimphu 
2020-03-19 11:53:21, The Coronavirus Is Here to Stay So What Happens Next https t co B9mtsxKhsA , pphurba , ,4,Thimphu 
2020-03-19 11:40:10, The Stereophonics concert in the UK I want to go these xe2 x80 x9cWhite people xe2 x80 x9d but I know not all white people are like the concert goers Still I AM STUNNED Do you guys not know what a pandemic is I really like the band but the concert makes me doubt their intelligence , namgayzam , ,21283,Thimphu 
